name,description,url,downloads,owners,owners_urls
edlib,"Lightweight, super fast library for sequence alignment using edit (Levenshtein) distance.",https://pypi.org/project/edlib/,261654,Martinsos,https://pypi.org/user/Martinsos/
sparse-dot-topn,This package boosts a sparse matrix multiplication followed by selecting the top-n multiplication,https://pypi.org/project/sparse-dot-topn/,261648,ymwdalex,https://pypi.org/user/ymwdalex/
pymc3,Probabilistic Programming in Python: Bayesian Modeling and Probabilistic Machine Learning with Theano,https://pypi.org/project/pymc3/,261489,"Colin.Carroll,fonnesbeck,id.mosthege.net,springcoil,Thomas.Wiecki","https://pypi.org/user/Colin.Carroll/,https://pypi.org/user/fonnesbeck/,https://pypi.org/user/id.mosthege.net/,https://pypi.org/user/springcoil/,https://pypi.org/user/Thomas.Wiecki/"
python-openstackclient,OpenStack Command-line Client,https://pypi.org/project/python-openstackclient/,259053,openstackci,https://pypi.org/user/openstackci/
aws-cdk.aws-applicationautoscaling,The CDK Construct Library for AWS::ApplicationAutoScaling,https://pypi.org/project/aws-cdk.aws-applicationautoscaling/,261284,"aws-cdk,osa-amazon","https://pypi.org/user/aws-cdk/,https://pypi.org/user/osa-amazon/"
databricks-pypi2,No project description provided,https://pypi.org/project/databricks-pypi2/,260690,yunzou_data,https://pypi.org/user/yunzou_data/
dvc,Git for data scientists - manage your code and data together,https://pypi.org/project/dvc/,259809,"dmpetrov,efiop,shcheklein","https://pypi.org/user/dmpetrov/,https://pypi.org/user/efiop/,https://pypi.org/user/shcheklein/"
aws-cdk.assets,This module is deprecated. All types are now available under the core module,https://pypi.org/project/aws-cdk.assets/,261261,"aws-cdk,osa-amazon","https://pypi.org/user/aws-cdk/,https://pypi.org/user/osa-amazon/"
getmac,Get MAC addresses of remote hosts and local interfaces,https://pypi.org/project/getmac/,259768,ghostofgoes,https://pypi.org/user/ghostofgoes/
pywinauto,A set of Python modules to automate the Microsoft Windows GUI,https://pypi.org/project/pywinauto/,257991,"aireilil,markm,vasily-v-ryabov","https://pypi.org/user/aireilil/,https://pypi.org/user/markm/,https://pypi.org/user/vasily-v-ryabov/"
ansicolors,ANSI colors for Python,https://pypi.org/project/ansicolors/,257985,"Jonathan.Eunice,verigak","https://pypi.org/user/Jonathan.Eunice/,https://pypi.org/user/verigak/"
hk80,Hong Kong 1980 Grid coordinates conversion library in Python,https://pypi.org/project/hk80/,257719,MacroYau,https://pypi.org/user/MacroYau/
jsonpath-rw-ext,Extensions for JSONPath RW,https://pypi.org/project/jsonpath-rw-ext/,257601,"cdent,jd,sileht","https://pypi.org/user/cdent/,https://pypi.org/user/jd/,https://pypi.org/user/sileht/"
atari-py,Python bindings to Atari games,https://pypi.org/project/atari-py/,256893,"gdb,jietang,jonasschneider,joschu,nivwusquorum,openai,peterz-openai,pzhokhov","https://pypi.org/user/gdb/,https://pypi.org/user/jietang/,https://pypi.org/user/jonasschneider/,https://pypi.org/user/joschu/,https://pypi.org/user/nivwusquorum/,https://pypi.org/user/openai/,https://pypi.org/user/peterz-openai/,https://pypi.org/user/pzhokhov/"
aws-cdk.aws-sqs,The CDK Construct Library for AWS::SQS,https://pypi.org/project/aws-cdk.aws-sqs/,259421,"aws-cdk,osa-amazon","https://pypi.org/user/aws-cdk/,https://pypi.org/user/osa-amazon/"
args,Command Arguments for Humans.,https://pypi.org/project/args/,256539,kennethreitz,https://pypi.org/user/kennethreitz/
ElasticQuery,A simple query builder for Elasticsearch 2,https://pypi.org/project/ElasticQuery/,258495,Fizzadar,https://pypi.org/user/Fizzadar/
path.py,A module wrapper for os.path,https://pypi.org/project/path.py/,260582,"aclark,dottedmag,jaraco,jorend,msabramo","https://pypi.org/user/aclark/,https://pypi.org/user/dottedmag/,https://pypi.org/user/jaraco/,https://pypi.org/user/jorend/,https://pypi.org/user/msabramo/"
PyRTF3,PyRTF - Rich Text Format Document Generation,https://pypi.org/project/PyRTF3/,260020,ghost555,https://pypi.org/user/ghost555/
mss,An ultra fast cross-platform multiple screenshots module in pure python using ctypes.,https://pypi.org/project/mss/,255177,T2,https://pypi.org/user/T2/
clint,Python Command Line Interface Tools,https://pypi.org/project/clint/,254894,"jpiper,kennethreitz,tuxtimo","https://pypi.org/user/jpiper/,https://pypi.org/user/kennethreitz/,https://pypi.org/user/tuxtimo/"
aws-cdk.aws-ecr,The CDK Construct Library for AWS::ECR,https://pypi.org/project/aws-cdk.aws-ecr/,255390,"aws-cdk,osa-amazon","https://pypi.org/user/aws-cdk/,https://pypi.org/user/osa-amazon/"
azureml-defaults,Is a metapackage that is used internally by Azure Machine Learning,https://pypi.org/project/azureml-defaults/,254811,amlpypi,https://pypi.org/user/amlpypi/
GPUtil,GPUtil is a Python module for getting the GPU status from NVIDA GPUs using nvidia-smi.,https://pypi.org/project/GPUtil/,254347,anderskm,https://pypi.org/user/anderskm/
ngram,A `set` subclass providing fuzzy search based on N-grams.,https://pypi.org/project/ngram/,253451,"exhuma,grazam","https://pypi.org/user/exhuma/,https://pypi.org/user/grazam/"
airflow-exporter,Airflow plugin to export dag and task based metrics to Prometheus.,https://pypi.org/project/airflow-exporter/,251805,Epoch8,https://pypi.org/user/Epoch8/
sqlalchemy-stubs,SQLAlchemy stubs and mypy plugin,https://pypi.org/project/sqlalchemy-stubs/,251888,ilevkivskyi,https://pypi.org/user/ilevkivskyi/
simple-ddl-parser,"Simple DDL Parser to parse SQL & dialects like HQL, TSQL (MSSQL), Oracle, AWS Redshift, Snowflake, MySQL, PostgreSQL, etc ddl files to json/python dict with full information about columns: types, defaults, primary keys, etc.; sequences, alters, custom types & other entities from ddl.",https://pypi.org/project/simple-ddl-parser/,253343,xnuinside,https://pypi.org/user/xnuinside/
aws-cdk.aws-autoscaling-common,Common implementation package for @aws-cdk/aws-autoscaling and @aws-cdk/aws-applicationautoscaling,https://pypi.org/project/aws-cdk.aws-autoscaling-common/,252656,"aws-cdk,osa-amazon","https://pypi.org/user/aws-cdk/,https://pypi.org/user/osa-amazon/"
tableauhyperapi,Hyper API for Python,https://pypi.org/project/tableauhyperapi/,251689,tableau,https://pypi.org/user/tableau/
gprof2dot,Generate a dot graph from the output of several profilers.,https://pypi.org/project/gprof2dot/,251573,"jrfonseca,toutpt","https://pypi.org/user/jrfonseca/,https://pypi.org/user/toutpt/"
django-compressor,Compresses linked and inline JavaScript or CSS into single cached files.,https://pypi.org/project/django-compressor/,250454,"diox,jezdez,karyon,xian","https://pypi.org/user/diox/,https://pypi.org/user/jezdez/,https://pypi.org/user/karyon/,https://pypi.org/user/xian/"
aws-cdk.aws-sns,The CDK Construct Library for AWS::SNS,https://pypi.org/project/aws-cdk.aws-sns/,254054,"aws-cdk,osa-amazon","https://pypi.org/user/aws-cdk/,https://pypi.org/user/osa-amazon/"
aws-cdk.aws-elasticloadbalancingv2,The CDK Construct Library for AWS::ElasticLoadBalancingV2,https://pypi.org/project/aws-cdk.aws-elasticloadbalancingv2/,255721,"aws-cdk,osa-amazon","https://pypi.org/user/aws-cdk/,https://pypi.org/user/osa-amazon/"
django-otp,A pluggable framework for adding two-factor authentication to Django using one-time passwords.,https://pypi.org/project/django-otp/,251086,psagers,https://pypi.org/user/psagers/
phonenumberslite,"Python version of Google's common library for parsing, formatting, storing and validating international phone numbers.",https://pypi.org/project/phonenumberslite/,250990,galloglass,https://pypi.org/user/galloglass/
xhtml2pdf,PDF generator using HTML and CSS,https://pypi.org/project/xhtml2pdf/,249294,"benjaoming,chrisglass,dyu,lanshark,luisza,Samuel.Spencer","https://pypi.org/user/benjaoming/,https://pypi.org/user/chrisglass/,https://pypi.org/user/dyu/,https://pypi.org/user/lanshark/,https://pypi.org/user/luisza/,https://pypi.org/user/Samuel.Spencer/"
google-cloud-container,Google Container Engine API client library,https://pypi.org/project/google-cloud-container/,250403,"gcloudpypi,google_opensource","https://pypi.org/user/gcloudpypi/,https://pypi.org/user/google_opensource/"
av,Pythonic bindings for FFmpeg's libraries.,https://pypi.org/project/av/,249859,"mikeboers,pyav-pypi-ci,sharky","https://pypi.org/user/mikeboers/,https://pypi.org/user/pyav-pypi-ci/,https://pypi.org/user/sharky/"
django-anymail,"Django email integration for Amazon SES, Mailgun, Mailjet, Postmark, SendGrid, SendinBlue, SparkPost and other transactional ESPs",https://pypi.org/project/django-anymail/,249094,medmunds,https://pypi.org/user/medmunds/
kneed,Knee-point detection in Python,https://pypi.org/project/kneed/,247656,arvkevi,https://pypi.org/user/arvkevi/
click-default-group,Extends click.Group to invoke a command without explicit subcommand name,https://pypi.org/project/click-default-group/,248533,sublee,https://pypi.org/user/sublee/
aws-cdk.aws-ecr-assets,Docker image assets deployed to ECR,https://pypi.org/project/aws-cdk.aws-ecr-assets/,251017,"aws-cdk,osa-amazon","https://pypi.org/user/aws-cdk/,https://pypi.org/user/osa-amazon/"
bson,BSON codec for Python,https://pypi.org/project/bson/,247413,Parkayun,https://pypi.org/user/Parkayun/
Flask-Testing,Unit testing for Flask,https://pypi.org/project/Flask-Testing/,250726,"ChristophHeer,jcomo","https://pypi.org/user/ChristophHeer/,https://pypi.org/user/jcomo/"
evergreen-lint,No project description provided,https://pypi.org/project/evergreen-lint/,250449,"gyrccc,richard.l.samuels","https://pypi.org/user/gyrccc/,https://pypi.org/user/richard.l.samuels/"
readthedocs-sphinx-ext,Sphinx extension for Read the Docs overrides,https://pypi.org/project/readthedocs-sphinx-ext/,249332,"agj,davidfischer,ericholscher,humitos,stsewd","https://pypi.org/user/agj/,https://pypi.org/user/davidfischer/,https://pypi.org/user/ericholscher/,https://pypi.org/user/humitos/,https://pypi.org/user/stsewd/"
zope.hookable,Zope hookable,https://pypi.org/project/zope.hookable/,249176,"agroszer,baijum,benji,ccomb,chrism,chrisw,ctheune,davisagli,faassen,fdrake,gary,hannosch,hathawsh,icemac,ignas,J1m,jamadden,menesis,mgedmin,nadako,pcardune,philikon,projekt01,roymath,srichter,tlotze,tseaver,zope.wheelbuilder","https://pypi.org/user/agroszer/,https://pypi.org/user/baijum/,https://pypi.org/user/benji/,https://pypi.org/user/ccomb/,https://pypi.org/user/chrism/,https://pypi.org/user/chrisw/,https://pypi.org/user/ctheune/,https://pypi.org/user/davisagli/,https://pypi.org/user/faassen/,https://pypi.org/user/fdrake/,https://pypi.org/user/gary/,https://pypi.org/user/hannosch/,https://pypi.org/user/hathawsh/,https://pypi.org/user/icemac/,https://pypi.org/user/ignas/,https://pypi.org/user/J1m/,https://pypi.org/user/jamadden/,https://pypi.org/user/menesis/,https://pypi.org/user/mgedmin/,https://pypi.org/user/nadako/,https://pypi.org/user/pcardune/,https://pypi.org/user/philikon/,https://pypi.org/user/projekt01/,https://pypi.org/user/roymath/,https://pypi.org/user/srichter/,https://pypi.org/user/tlotze/,https://pypi.org/user/tseaver/,https://pypi.org/user/zope.wheelbuilder/"
sphinx-autodoc-typehints,Type hints (PEP 484) support for the Sphinx autodoc extension,https://pypi.org/project/sphinx-autodoc-typehints/,247028,agronholm,https://pypi.org/user/agronholm/
python-cinderclient,OpenStack Block Storage API Client Library,https://pypi.org/project/python-cinderclient/,246512,openstackci,https://pypi.org/user/openstackci/
rollbar,"Easy and powerful exception tracking with Rollbar. Send messages and exceptions with arbitrary context, get back aggregates, and debug production issues quickly.",https://pypi.org/project/rollbar/,248441,"ajtran,brianr,bxsx,coryvirok,Letania,pawelsz,waltjones","https://pypi.org/user/ajtran/,https://pypi.org/user/brianr/,https://pypi.org/user/bxsx/,https://pypi.org/user/coryvirok/,https://pypi.org/user/Letania/,https://pypi.org/user/pawelsz/,https://pypi.org/user/waltjones/"
smartsheet-python-sdk,Library that uses Python to connect to Smartsheet services (using API 2.0).,https://pypi.org/project/smartsheet-python-sdk/,246479,smartsheet-platform,https://pypi.org/user/smartsheet-platform/
types-redis,Typing stubs for redis,https://pypi.org/project/types-redis/,247348,typeshed_bot,https://pypi.org/user/typeshed_bot/
DBUtils,Database connections for multi-threaded environments.,https://pypi.org/project/DBUtils/,247164,cito,https://pypi.org/user/cito/
certbot,ACME client,https://pypi.org/project/certbot/,246945,"bmw,ebportnoy","https://pypi.org/user/bmw/,https://pypi.org/user/ebportnoy/"
atlassian-python-api,Python Atlassian REST API Wrapper,https://pypi.org/project/atlassian-python-api/,246126,"AstroMatt,gon4ik","https://pypi.org/user/AstroMatt/,https://pypi.org/user/gon4ik/"
django-webpack-loader,Transparently use webpack with django,https://pypi.org/project/django-webpack-loader/,246024,"owaislone,vintasoftware","https://pypi.org/user/owaislone/,https://pypi.org/user/vintasoftware/"
django-health-check,"Run checks on services like databases, queue servers, celery processes, etc.",https://pypi.org/project/django-health-check/,245439,"codingjoe,jqb,KristianOellegaard,stefanfoulis","https://pypi.org/user/codingjoe/,https://pypi.org/user/jqb/,https://pypi.org/user/KristianOellegaard/,https://pypi.org/user/stefanfoulis/"
isoweek,Objects representing a week,https://pypi.org/project/isoweek/,246228,gisle,https://pypi.org/user/gisle/
colab-ssh,Google colab SSH connector,https://pypi.org/project/colab-ssh/,246165,wassimbenzarti,https://pypi.org/user/wassimbenzarti/
tabulator,Consistent interface for stream reading and writing tabular data (csv/xls/json/etc),https://pypi.org/project/tabulator/,244726,"brew,callmealien,okfn,pwalsh","https://pypi.org/user/brew/,https://pypi.org/user/callmealien/,https://pypi.org/user/okfn/,https://pypi.org/user/pwalsh/"
yattag,Generate HTML or XML in a pythonic way. Pure python alternative to web template engines.Can fill HTML forms with default values and error messages.,https://pypi.org/project/yattag/,247133,leforestier,https://pypi.org/user/leforestier/
opencensus-ext-stackdriver,OpenCensus Stackdriver Trace Exporter,https://pypi.org/project/opencensus-ext-stackdriver/,246329,"aabmass,cnk,google_opensource,google_opentelemetry,reyang","https://pypi.org/user/aabmass/,https://pypi.org/user/cnk/,https://pypi.org/user/google_opensource/,https://pypi.org/user/google_opentelemetry/,https://pypi.org/user/reyang/"
rcssmin,CSS Minifier,https://pypi.org/project/rcssmin/,245086,ndparker,https://pypi.org/user/ndparker/
molecule,Molecule aids in the development and testing of Ansible roles,https://pypi.org/project/molecule/,244669,"ansible-community,gundalow,ssbarnea","https://pypi.org/user/ansible-community/,https://pypi.org/user/gundalow/,https://pypi.org/user/ssbarnea/"
Tempita,A very small text templating language,https://pypi.org/project/Tempita/,245980,"ianb,jaraco,k0s","https://pypi.org/user/ianb/,https://pypi.org/user/jaraco/,https://pypi.org/user/k0s/"
tsfresh,tsfresh extracts relevant characteristics from time series,https://pypi.org/project/tsfresh/,244220,"jneuff,MaxChrist,nbraun","https://pypi.org/user/jneuff/,https://pypi.org/user/MaxChrist/,https://pypi.org/user/nbraun/"
google-compute-engine,Google Compute Engine,https://pypi.org/project/google-compute-engine/,244042,"gc-team,google_opensource","https://pypi.org/user/gc-team/,https://pypi.org/user/google_opensource/"
